bID,name,address,cord,numOfReview,rating,zipcode,cuisine
XsXLVWr1UZWVhKThNvNiaA,Blue Willow 夜来湘,"40 W 56th St, New York, NY 10019","40.76292, -73.976546",102,5.0,10019,chinese
LDF8GBzAPJ4bnJVo4Bf3xw,Empire Chinese Restaurant,"351 E 62nd St, New York, NY 10065","40.76188, -73.96122",1,4.0,10065,chinese
EmJ7rfmv2y6lQZxgA8U__g,Red Peony Chinese Cuisine,"24 W 56th St, New York, NY 10019","40.76278, -73.97589",348,4.5,10019,chinese
wfhMIiMh2A2psCGONOVSlg,Han Dynasty,"90 3rd Ave, New York, NY 10003","40.732072, -73.988074",1255,4.0,10003,chinese
FXhSEZfIqjMZh4hR0_8jMQ,China Xiang 中国湘,"360 W 42nd Street, New York, NY 10036","40.7582902125633, -73.9925113993899",492,4.0,10036,chinese
xq0cX_DgxiJMXwhmEl9kUA,Café China,"13 E 37th St, New York, NY 10016","40.7499225208569, -73.9819464127197",1665,4.0,10016,chinese
6tASYtO9zOrXr8-LPnAToQ,Zest Szechuan,"45 W 39th St, New York, NY 10018","40.75274, -73.98445",597,4.0,10018,chinese
v0opDMezc6pKgdfR22KUnQ,Da Tang Szechuan,"18 W 38th St, New York, NY 10018","40.75128, -73.98376",256,4.5,10018,chinese
bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,"334 W 46th St, New York, NY 10036","40.76015, -73.9893699",1289,4.0,10036,chinese
ojbH3wnRu050hRhkmoxRiA,Han Dynasty,"215 W 85th St, New York, NY 10024","40.78752, -73.97647",616,4.0,10024,chinese
pPqEu60FMffpiWqk2MCrVA,Hutaoli Music Restaurant & Bar,"42 W 33rd St, New York, NY 10001","40.748413, -73.9871229",21,4.0,10001,chinese
0dDCDQz7DrKkSvu9h2hcQw,Chow House,"181 Bleecker St, New York, NY 10012","40.72915, -74.00072",407,4.5,10012,chinese
0CjK3esfpFcxIopebzjFxA,Joe's Shanghai,"46 Bowery St, New York, NY 10013","40.7156608, -73.9967012",6270,4.0,10013,chinese
Y92VtOkTZ6BirkJbUKCMOw,Rong Cheng House,"242 W 56th St, New York, NY 10019","40.76572, -73.98286",69,4.0,10019,chinese
qGgQMVExGERqGhZNDM2ROg,Wu Liang Ye,"36 W 48th St, New York, NY 10036","40.75781, -73.97994",508,3.5,10036,chinese
pCfGgX0WxGASGM4-Yhr2Pw,Hao Noodle Chelsea,"343 W 14th St, New York, NY 10014","40.7406999, -74.00436",422,4.5,10014,chinese
sfsjk1h50ooC2ioY7m48gw,Pig Heaven,"1420 3rd Ave, New York, NY 10028","40.77544, -73.95686",415,4.0,10028,chinese
jc7lVTvmYMIK5RNpENtS6w,Szechuan Mountain House,"23 St Marks Pl, New York, NY 10003","40.72911, -73.98858",386,4.0,10003,chinese
_saXnBy0Wq2Gb3YusWZhqw,Five Senses,"9 W 32nd St, New York, NY 10001","40.747573158626, -73.9863122632311",1459,4.0,10001,chinese
wDuf4Qz9qsC62amLZgWNJQ,Little Alley,"550 3rd Ave, New York, NY 10016","40.74744, -73.97728",383,4.0,10016,chinese
nI1UYDCYUTt23TpGxqnLKg,Buddakan,"75 9th Ave, New York, NY 10011","40.7422762672197, -74.0048000961542",4036,4.0,10011,chinese
xCHApgtkLpEyh0lz-uhZvg,Szechuan Garden,"239 W 105th St, New York, NY 10025","40.80053, -73.967586",309,4.0,10025,chinese
2UxAkvKkkWNwqZi9H0OzWw,Dian Kitchen,"435 E 9th St, New York, NY 10009","40.72772, -73.98321",237,5.0,10009,chinese
1jAB_uaI8-P_wSqOo2S3KQ,Mazu Szechuan Cuisine,"495 3rd Ave, New York, NY 10016","40.745234, -73.97812",32,5.0,10016,chinese
croh2zWlbPyCQTNS11klcg,China River 川聚院,"258 W 44th St, New York, NY 10036","40.7581711239604, -73.9883149042726",205,4.0,10036,chinese
4FD0TAxe70nb3ngk3sXF9Q,Uluh,"152 2nd Ave, Ste A, New York, NY 10003","40.7293403, -73.9866071",339,4.5,10003,chinese
lQ8Fzgji9qmgRXkFcvAsVQ,Chong Qing Xiao Mian,"796 9th Ave, New York, NY 10019","40.76513, -73.98753",310,4.0,10019,chinese
LT0yyLNM84EiJj9DL0rfHA,Hui Restaurant & Bar,"314 E 70th St, New York, NY 10021","40.76701, -73.95846",178,4.5,10021,chinese
